human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
BBC3,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
BCL2L11,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
BID,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis,2,1
BNIP3L,apoptosis,intrinsic_apoptosis,previous_reviewed_core_panel,0,2
CASP9,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
DIABLO,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
ENDOG,apoptosis,intrinsic_apoptosis,KEGG_hsa04210_Apoptosis,1,1
OMA1,apoptosis,intrinsic_apoptosis,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
DAP3,apoptosis,stress_pro_apoptotic,previous_reviewed_core_panel,0,1
DAPK1,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
DAPK2,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
DAPK3,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
DDIT3,apoptosis,stress_pro_apoptotic,KEGG_hsa04210_Apoptosis,1,1
EIF2AK3,apoptosis,stress_pro_apoptotic,KEGG_hsa04210_Apoptosis,1,1
MAP3K5,apoptosis,stress_pro_apoptotic,KEGG_hsa04210_Apoptosis,1,1
PRKCD,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,2
TP53,apoptosis,stress_pro_apoptotic,KEGG_hsa04210_Apoptosis;Reactome_Apoptosis_or_Intrinsic_Apoptosis;previous_reviewed_core_panel,2,1
TP53BP2,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,2
UNC5B,apoptosis,stress_pro_apoptotic,Reactome_Apoptosis_or_Intrinsic_Apoptosis,1,1
ANLN,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
ANP32E,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
AURKA,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
AURKB,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
BIRC5,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
BUB1,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
BUB3,proliferation,G2M_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
CCNB1,proliferation,G2M_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
CCNB2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
CDC20,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
