run,growth_scaling,epsilon,tau_a,tau_b,source_hpf,target_hpf,converged,cost,posterior_growth_spearman_vs_saved_primary,cell_source_mass_spearman_vs_saved_primary,type_joint_mass_l1_vs_saved_primary,type_source_mass_max_abs_vs_saved_primary,type_conditional_js_vs_saved_primary
epsilon_0.005,5.0,0.005,0.9,0.9,16.0,19.0,True,0.060361552983522415,0.9706178571525279,0.9568071089892721,0.15385687640335277,0.030713808843343765,0.010967948474710405
epsilon_0.005,5.0,0.005,0.9,0.9,19.0,24.0,True,0.06265664100646973,0.9706178571525279,0.9892161635832523,0.20573023631012818,0.055568679863931714,0.010827955169049932
epsilon_0.005,5.0,0.005,0.9,0.9,24.0,48.0,True,0.06511189043521881,0.9706178571525279,0.98792651515127,0.17687637135708606,0.06542439353564139,0.0031446032269875483
epsilon_0.005,5.0,0.005,0.9,0.9,48.0,72.0,True,0.042058903723955154,0.9706178571525279,0.9791394430295086,0.14556568789622235,0.041113986657931534,0.0035439802688409534
epsilon_0.005,5.0,0.005,0.9,0.9,72.0,120.0,True,0.0376000851392746,0.9706178571525279,0.9925168255661867,0.16973542360000837,0.02254542341276805,0.007411177194532476
epsilon_0.005,5.0,0.005,0.9,0.9,120.0,240.0,True,0.03960331156849861,0.9706178571525279,0.9319097617988858,0.15503132662257985,0.028812152282423648,0.006244610764329245
epsilon_0.05,5.0,0.05,0.9,0.9,12.0,14.0,True,0.3828054964542389,0.7433876412515869,0.3368421052631579,0.5235279382209327,0.05230977828228567,0.08252191984717262
epsilon_0.05,5.0,0.05,0.9,0.9,14.0,16.0,True,0.3163018822669983,0.7433876412515869,0.9737630790262369,0.27711210824304056,0.04668113219946225,0.03308451304724607
epsilon_0.05,5.0,0.05,0.9,0.9,16.0,19.0,True,0.2765825390815735,0.7433876412515869,0.8530031843124821,0.27694545086122224,0.05333950787463784,0.03412086527670686
epsilon_0.05,5.0,0.05,0.9,0.9,19.0,24.0,True,0.35696762800216675,0.7433876412515869,0.7171616358325219,0.34830992964510044,0.08666293657133511,0.01994373060786513
epsilon_0.05,5.0,0.05,0.9,0.9,24.0,48.0,True,0.3732047379016876,0.7433876412515869,0.9748678199969226,0.6234923729149571,0.2756484571757478,0.011976561500276496
epsilon_0.05,5.0,0.05,0.9,0.9,48.0,72.0,True,0.18617688119411469,0.7433876412515869,0.8334435471271434,0.23087844053230427,0.07633142139321658,0.005034742800969168
epsilon_0.05,5.0,0.05,0.9,0.9,72.0,120.0,True,0.1947804093360901,0.7433876412515869,0.9550693224087946,0.23895631152178654,0.039032125381222305,0.017579719612145054
epsilon_0.05,5.0,0.05,0.9,0.9,120.0,240.0,True,0.16883757710456848,0.7433876412515869,0.7540627865508109,0.34391068357082893,0.050737980039663705,0.035219607952954965
epsilon_0.1,5.0,0.1,0.9,0.9,12.0,14.0,True,0.5377101302146912,0.3629685657844564,0.30350877192982456,0.7478245685320624,0.038961354579232776,0.15667251437228788
epsilon_0.1,5.0,0.1,0.9,0.9,14.0,16.0,True,0.4408704340457916,0.3629685657844564,0.9542825595457174,0.4082980862072661,0.08612635898636149,0.046694649839013384
epsilon_0.1,5.0,0.1,0.9,0.9,16.0,19.0,True,0.3799484670162201,0.3629685657844564,0.7872692772123512,0.3677820272945793,0.06867381446372278,0.055751413521228976
epsilon_0.1,5.0,0.1,0.9,0.9,19.0,24.0,True,0.5187667012214661,0.3629685657844564,0.5437682570593962,0.4872150973074748,0.08885157946573774,0.056201066131819716
epsilon_0.1,5.0,0.1,0.9,0.9,24.0,48.0,True,0.500613808631897,0.3629685657844564,0.9562102912807078,0.8305717486999846,0.3631404603498327,0.02378182698820948
epsilon_0.1,5.0,0.1,0.9,0.9,48.0,72.0,True,0.2679963707923889,0.3629685657844564,0.5401078104947288,0.3108388846862216,0.0955951140424452,0.008437985664572892
