official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,tmem229b,21,2.4816196277790734,1.1591175313563153,9.811092907100461,4.355747097589063e-09,3.2037512499291135e-07
erythroblast,fabp10b,21,2.460486449608584,1.3136508231272819,8.583228665668026,3.8649663852317374e-08,1.6388771681427003e-06
erythroblast,tmem14ca,21,2.456585929934695,1.0027389443808463,11.226741554393602,4.370058210488582e-10,7.636467962086259e-08
erythroblast,faxdc2,21,2.427613861247862,2.2339646185806825,4.979812206855937,7.199583638598157e-05,0.0006991878836281077
erythroblast,si:dkey-100n23.3,21,2.4215603308158444,1.341239174438186,8.273679838284012,6.905421827445166e-08,2.556469440109147e-06
erythroblast,hivep3b,21,2.4123282481796364,1.966439019620098,5.621672824870555,1.675860324327635e-05,0.00020691821781246026
erythroblast,fech,21,2.3940839092642023,0.9567301321972425,11.467257448119305,3.0200676230683495e-10,6.323922413547084e-08
erythroblast,pip5kl1,21,2.383771354479332,1.716208265177609,6.365085690948151,3.277545785515774e-06,5.333301816466504e-05
erythroblast,fhdc5,21,2.379503174191877,1.6765458742529302,6.503999430961535,2.4346197630209985e-06,4.169400324499444e-05
erythroblast,CU138547.1,21,2.3793414379093667,1.5140677633913704,7.2014691198113185,5.686567510389949e-07,1.2872193040226754e-05
erythroblast,alad,21,2.3686131979181257,1.2263395404779793,8.851014676816689,2.36284512916937e-08,1.1293494097345238e-06
erythroblast,atp8a2,21,2.33999601075897,1.8995468717962214,5.645140430284701,1.5901388141441753e-05,0.000197937651388591
erythroblast,reep1,21,2.3259971946701654,1.4786409075109537,7.208686136496603,5.603543498245282e-07,1.2705224452426388e-05
erythroblast,fam210b,21,2.308256679359151,0.8816115552133309,11.998210429525429,1.363143387286639e-10,4.3997457447304637e-08
erythroblast,fam222ba,21,2.3024077391569,1.0407732988278797,10.13761378892131,2.512914974745652e-09,2.2753076677276227e-07
erythroblast,adcy6a,21,2.2926829424982733,1.72137148520511,6.10350131789277,5.775479647705561e-06,8.451211974170527e-05
erythroblast,tmem205,21,2.2704192795363274,1.1928772662584388,8.722077704101537,2.991153534248091e-08,1.3430817874320192e-06
erythroblast,ezra,21,2.264253010570537,1.1855471268946003,8.752170688186913,2.8304551244230585e-08,1.2877866722810382e-06
erythroblast,tacc3,21,2.2544611045968064,1.3762040383388614,7.507054459467274,3.069440624526253e-07,7.939011165283528e-06
erythroblast,drl,21,2.248245455665515,1.8438745230091504,5.587557533260942,1.8089787973067633e-05,0.00022008573527321974
erythroblast,kcnab1b,21,2.235823080329177,1.6451287649122945,6.227979672268397,4.405954476066001e-06,6.764261950244584e-05
erythroblast,parvb,21,2.2336348340902017,1.6921989212415116,6.048816468101045,6.508668042791854e-06,9.427946555121146e-05
erythroblast,tbcelb,21,2.21562910340596,1.8898287103370257,5.372597009860353,2.9365373844266485e-05,0.00033031530603421525
erythroblast,atf5a,21,2.2114986333340063,1.7079513424882558,5.9336350131497735,8.38173764705631e-06,0.00011720334982007637
