official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
innate-lymphoid-cell,si:ch1073-110a20.1,7,7.471483549248475,0.5974905164709149,33.08452075989384,5.0736704609733303e-08,0.0002508494656673265
innate-lymphoid-cell,si:ch73-359m17.2,7,7.424316004127655,2.8441494280811472,6.9064211632969545,0.0004555206557092562,0.012409651971919162
innate-lymphoid-cell,FO203432.1,7,7.129475185080568,1.2109506024825616,15.576868519210317,4.431661910446388e-06,0.0010391679018213389
innate-lymphoid-cell,il13,7,7.0154979765871905,2.168675843502521,8.558800073757986,0.00013963302082567998,0.006438372985466437
innate-lymphoid-cell,si:ch1073-110a20.2,7,6.986074842977783,1.0875478959067775,16.99549669910647,2.6537275068533164e-06,0.000791358849462182
innate-lymphoid-cell,si:dkey-8e10.2,7,6.880034544050824,1.3133103898437213,13.860288135890107,8.782044947163367e-06,0.0014749364541770914
innate-lymphoid-cell,gata2a,7,6.867897572787959,0.9158082154948715,19.841216425037434,1.0632776395956058e-06,0.0005099932237554476
macrophage,si:ch211-194m7.3,21,3.908564777369926,2.1214192379059984,8.443071332102988,5.0187530454881364e-08,3.179895838405705e-06
macrophage,zgc:174904,21,3.780418293389757,1.909570569174862,9.07222454498771,1.584424003705589e-08,1.384352628715377e-06
macrophage,ccl34a.4,21,3.75213779831578,2.007415081658547,8.565470906236678,3.9944655747678144e-08,2.6925838585689185e-06
macrophage,si:ch211-147m6.1,21,3.7486073183228603,2.0945911310732983,8.20125538203608,7.924014987369009e-08,4.418604698749365e-06
macrophage,ctsl.1,21,3.733611611905665,2.302001972052207,7.432468796658255,3.563821464615066e-07,1.4008823779745207e-05
macrophage,ctss2.2,21,3.7319478492777307,1.4788336407455496,11.564474216532536,2.6053612410802366e-10,7.167519303787931e-08
macrophage,lygl1,21,3.691435861550814,1.4143141959013934,11.96076819963599,1.4405162491588929e-10,4.542593482261405e-08
macrophage,mpeg1.1,21,3.6547115796334553,1.573507487012582,10.64373229561126,1.0970678604031244e-09,1.8452367706490076e-07
macrophage,sftpbb,21,3.473982908044342,1.964944426623648,8.101903251508688,9.580888515741054e-08,5.054839931333765e-06
macrophage,grna,21,3.4427488395171135,1.0660281603230912,14.799475044849629,3.083641826327671e-12,3.845441522968166e-09
macrophage,MFAP4-3,21,3.366918038641366,1.718207846035473,8.979796481774283,1.8709715487263398e-08,1.542085838134861e-06
macrophage,marco,21,3.3558409376795715,1.889899425575386,8.137150003348044,8.955437822821703e-08,4.8460046680298506e-06
macrophage,slc2a6,21,3.3542820226581105,1.5410163174676732,9.974749194297758,3.301134403834154e-09,4.2128867618844593e-07
macrophage,tnfb,21,3.317953294965769,1.5832237883798785,9.603678417482536,6.217458917777933e-09,6.823039416369504e-07
macrophage,mfap4,21,3.241956751153738,1.670544797022234,8.893213901487124,2.188360964953489e-08,1.740222697782579e-06
macrophage,dnase2,21,3.2360019009052015,1.6569443944095932,8.949741288815584,1.9753471730033738e-08,1.6050636072012573e-06
macrophage,ctsk,21,3.1774630287221686,1.3226057917513636,11.0093006834347,6.134339525225318e-10,1.265380487778621e-07
macrophage,slc43a2b,21,3.150804147892351,1.6670146417554776,8.661470718992915,3.344195345952677e-08,2.3345546899799416e-06
macrophage,calhm6,21,3.142040746178996,1.2269914359899543,11.73491446937749,2.0154732596868355e-10,5.945646116076165e-08
macrophage,abcg2a,21,3.1396123648386145,1.6832147787661311,8.547638421544116,4.129045364036605e-08,2.7562131280375733e-06
macrophage_immature,hist1h4l-14,15,3.565196436426965,2.2190463851835247,6.2224685867022504,2.2279051164578e-05,0.0059924094970607595
macrophage_immature,si:dkey-108k21.10,15,3.51154840865753,2.362389614586428,5.756954069793728,4.9633946828662997e-05,0.007913024804337261
macrophage_immature,hist1h2a6,15,3.3227551382767144,2.460933532193777,5.229306336688788,0.00012757061657635974,0.011697482647166113
macrophage_immature,CR762436.1,15,3.2664781648255357,1.6439954919561393,7.695286024213129,2.145765366993979e-06,0.0029963554800210845
macrophage_immature,si:dkey-261m9.12,15,3.188757534689424,2.6605949185084183,4.641820797684306,0.0003809508641945516,0.02005472084300481
macrophage_immature,FQ312024.1,15,3.18174724902555,2.1761117950955127,5.662785402427521,5.8578189665348376e-05,0.008526482756620057
macrophage_immature,hist2h3c,15,3.1582742241465183,2.1270159736706638,5.7507529911806605,5.017656228182163e-05,0.007913024804337261
macrophage_immature,top2a,15,3.1303511524710945,1.9785357826453513,6.127661671648883,2.6163053055933118e-05,0.00625029954229864
macrophage_immature,si:ch1073-153i20.5,15,3.1295455242681673,1.9605651491730698,6.182236638145307,2.3847739738335732e-05,0.0060374459532777066
macrophage_immature,CU459186.5,15,3.0860401391104317,1.9940343010393737,5.993970142977153,3.288702682072983e-05,0.006683374672790541
macrophage_immature,zgc:173552-3,15,3.035990448476348,1.784318783847522,6.589820469658008,1.209377260567433e-05,0.005296471370034117
macrophage_immature,hist1h2a1,15,3.0270807835581386,2.1240476494052896,5.519571778734679,7.554129801507797e-05,0.009569966588417581
macrophage_immature,hist1h2a3-1,15,3.0111022415462605,2.8615896021356018,4.0753393940672655,0.0011355523357777625,0.03532185751934571
macrophage_immature,zgc:173585,15,2.9848708397680754,2.3996050256076145,4.817607451907489,0.00027337272911199265,0.01681610050042044
macrophage_immature,CR762436.2,15,2.971264131885362,2.2654536155647236,5.079625740696024,0.0001678809592152046,0.013162640317750168
macrophage_immature,zgc:173552-5,15,2.9275230983132654,1.9040021904631337,5.954955441856333,3.517357294347581e-05,0.0068261810526794395
macrophage_immature,si:ch211-113a14.12,15,2.9200654102102255,2.4458796078479677,4.623843572387111,0.000394181140376876,0.020251609712059162
macrophage_immature,hist1h2a11-4,15,2.9150225541875914,2.004376031914532,5.632592700384554,6.179016971337336e-05,0.008737271584373353
macrophage_immature,si:dkey-108k21.19,15,2.871457583762538,2.0888105268576833,5.324134122391375,0.00010736569923608056,0.01107879410710805
macrophage_immature,zgc:173552-1,15,2.8307106897843806,1.7524719102858048,6.255903615412728,2.1057779130274653e-05,0.0059924094970607595
microglia,apoeb,12,5.003523405374243,2.122977002181024,8.164343510141581,5.381008084907775e-06,0.00036451347360356745
microglia,mcamb,12,4.958819864762012,1.1422899979433092,15.038086592395944,1.1096359228156835e-08,8.456350428457855e-06
microglia,apoc1,12,4.801506929379183,1.7740889327004539,9.375464556807499,1.4027747319242958e-06,0.00015033251863415256
microglia,mafaa,12,4.764087572308571,1.6182321778878956,10.198340929934904,6.073471664209558e-07,8.946814082314151e-05
microglia,BX539325.2,12,4.6574871133942715,0.8396383989339061,19.215424940638517,8.20653134481508e-10,2.4283757101243e-06
microglia,slco2b1,12,4.5798846508514535,1.2443085464984323,12.750202400204376,6.22227584974146e-08,2.5932504946575795e-05
microglia,pdgfd,12,4.57741399704353,2.2560458178831335,7.028504073197886,2.1868395194610595e-05,0.0009692397773249462
microglia,g0s2,12,4.478202278688405,3.399748526561394,4.562969180020009,0.0008126800376578875,0.010931821273967704
microglia,sall3a,12,4.447692558755449,2.616824953061213,5.887768288970652,0.00010496368355397837,0.0027137981992503587
microglia,si:ch73-86n18.1,12,4.21925564816758,0.9616853462848096,15.198245831612992,9.924692215612815e-09,8.00835090986287e-06
microglia,glula,12,4.1547027689042855,1.0069135105393943,14.2934943483565,1.8917538669143736e-08,1.2357206509237105e-05
microglia,ccl34b.1,12,4.148485728620253,0.9076768568052563,15.832480474901672,6.446047626903777e-09,5.971763127910118e-06
microglia,tgm2l,12,4.146296772112181,1.9771355263946153,7.264647847032577,1.6137437554638092e-05,0.0007934240131030396
microglia,p2ry12,12,3.9453435276290256,1.3980474260832119,9.775827794785789,9.268453578247081e-07,0.00011701352718638874
microglia,hbegfb,12,3.9116353504813914,2.200435841528787,6.158008372567791,7.126177810958033e-05,0.002095371278144859
microglia,stab1,12,3.864838250750937,0.838149289627378,15.97351759687654,5.868900537561862e-09,5.971763127910118e-06
microglia,abi1b,12,3.7454288234854225,1.145389030411367,11.327632526880004,2.09936953749326e-07,5.364611400329878e-05
