official_fine_cell_type,hpf,fish_id,n_cells
macrophage,14.0,TDR18,1
macrophage,14.0,TDR19,1
macrophage,16.0,TDR39,5
macrophage,16.0,TDR40,4
macrophage,16.0,TDR41,12
macrophage,16.0,TDR42,2
macrophage,19.0,TDR27,6
macrophage,19.0,TDR28,7
macrophage,19.0,TDR29,2
macrophage,19.0,TDR30,1
macrophage,24.0,TDR43,13
macrophage,24.0,TDR44,34
macrophage,24.0,TDR45,3
macrophage,24.0,TDR46,43
macrophage,48.0,TDR47,28
macrophage,48.0,TDR48,29
macrophage,48.0,TDR49,7
macrophage,48.0,TDR50,9
macrophage,72.0,TDR67,14
macrophage,72.0,TDR68,9
macrophage,72.0,TDR69,23
macrophage,72.0,TDR70,32
macrophage,120.0,TDR51,129
macrophage,120.0,TDR52,82
macrophage,120.0,TDR53,136
macrophage,120.0,TDR54,78
macrophage,240.0,TDR71,31
macrophage,240.0,TDR72,6
macrophage,240.0,TDR73,24
macrophage,240.0,TDR74,46
macrophage_immature,12.0,TDR35,2
macrophage_immature,12.0,TDR36,3
macrophage_immature,14.0,TDR18,5
macrophage_immature,14.0,TDR19,10
macrophage_immature,14.0,TDR21,2
macrophage_immature,14.0,TDR22,3
macrophage_immature,16.0,TDR39,3
macrophage_immature,16.0,TDR40,4
macrophage_immature,16.0,TDR41,2
macrophage_immature,16.0,TDR42,2
macrophage_immature,19.0,TDR29,1
macrophage_immature,24.0,TDR43,27
macrophage_immature,24.0,TDR44,25
macrophage_immature,24.0,TDR45,1
macrophage_immature,24.0,TDR46,27
macrophage_immature,48.0,TDR47,41
macrophage_immature,48.0,TDR48,13
macrophage_immature,48.0,TDR49,2
macrophage_immature,48.0,TDR50,8
macrophage_immature,72.0,TDR67,6
macrophage_immature,72.0,TDR68,2
macrophage_immature,72.0,TDR69,2
macrophage_immature,72.0,TDR70,5
macrophage_immature,120.0,TDR51,23
macrophage_immature,120.0,TDR52,11
macrophage_immature,120.0,TDR53,25
macrophage_immature,120.0,TDR54,16
macrophage_immature,240.0,TDR71,9
macrophage_immature,240.0,TDR72,2
macrophage_immature,240.0,TDR73,4
macrophage_immature,240.0,TDR74,33
microglia,12.0,TDR35,1
microglia,48.0,TDR47,7
microglia,48.0,TDR48,8
microglia,48.0,TDR50,1
microglia,72.0,TDR67,13
microglia,72.0,TDR68,5
microglia,72.0,TDR69,17
microglia,72.0,TDR70,17
microglia,120.0,TDR51,27
microglia,120.0,TDR52,14
microglia,120.0,TDR53,24
microglia,120.0,TDR54,10
microglia,240.0,TDR71,2
microglia,240.0,TDR72,6
microglia,240.0,TDR73,3
microglia,240.0,TDR74,38
neutrophil,16.0,TDR39,1
neutrophil,16.0,TDR40,1
neutrophil,16.0,TDR41,1
neutrophil,19.0,TDR27,1
neutrophil,19.0,TDR28,3
neutrophil,19.0,TDR29,1
neutrophil,24.0,TDR43,12
neutrophil,24.0,TDR44,10
neutrophil,24.0,TDR45,5
neutrophil,24.0,TDR46,15
neutrophil,48.0,TDR47,21
neutrophil,48.0,TDR48,17
neutrophil,48.0,TDR50,3
neutrophil,120.0,TDR51,107
neutrophil,120.0,TDR52,32
neutrophil,120.0,TDR53,69
neutrophil,120.0,TDR54,36
neutrophil,240.0,TDR71,57
neutrophil,240.0,TDR72,7
neutrophil,240.0,TDR73,48
neutrophil,240.0,TDR74,60
non_specific_hematopoietic,12.0,TDR36,2
non_specific_hematopoietic,12.0,TDR37,3
non_specific_hematopoietic,12.0,TDR38,2
non_specific_hematopoietic,14.0,TDR18,8
non_specific_hematopoietic,14.0,TDR19,4
non_specific_hematopoietic,14.0,TDR21,5
non_specific_hematopoietic,14.0,TDR22,1
non_specific_hematopoietic,16.0,TDR39,2
non_specific_hematopoietic,16.0,TDR40,7
non_specific_hematopoietic,16.0,TDR41,6
non_specific_hematopoietic,19.0,TDR27,1
non_specific_hematopoietic,19.0,TDR28,10
non_specific_hematopoietic,19.0,TDR29,1
non_specific_hematopoietic,24.0,TDR43,15
non_specific_hematopoietic,24.0,TDR44,52
non_specific_hematopoietic,24.0,TDR45,5
non_specific_hematopoietic,24.0,TDR46,55
non_specific_hematopoietic,48.0,TDR47,34
non_specific_hematopoietic,48.0,TDR48,16
non_specific_hematopoietic,48.0,TDR49,2
non_specific_hematopoietic,48.0,TDR50,20
non_specific_hematopoietic,72.0,TDR67,9
non_specific_hematopoietic,72.0,TDR68,8
non_specific_hematopoietic,72.0,TDR69,13
non_specific_hematopoietic,72.0,TDR70,14
non_specific_hematopoietic,120.0,TDR51,29
non_specific_hematopoietic,120.0,TDR52,9
non_specific_hematopoietic,120.0,TDR53,28
non_specific_hematopoietic,120.0,TDR54,9
non_specific_hematopoietic,240.0,TDR71,19
non_specific_hematopoietic,240.0,TDR72,15
non_specific_hematopoietic,240.0,TDR73,25
non_specific_hematopoietic,240.0,TDR74,35
thymocyte,120.0,TDR51,1
thymocyte,240.0,TDR71,4
thymocyte,240.0,TDR72,3
thymocyte,240.0,TDR73,2
thymocyte,240.0,TDR74,5
